itemId,userId,rating
2355,28675,3.0
2640,28675,0.5
317,28675,0.5
266,28675,0.5
4034,28675,2.5
58,28675,5.0
266,28675,0.5
236,28675,2.0
236,28675,2.0
750,28675,2.5
4034,28675,2.5
1374,28675,1.5
317,28675,0.5
350,28675,1.5
2640,28675,0.5
497,28675,2.5
1374,28675,1.5
750,28675,2.5
2355,28675,3.0
58,28675,5.0
350,28675,1.5
497,28675,2.5
186,4102,3.5
596,4102,3.0
1408,4102,5.0
364,4102,4.0
2001,4102,2.0
595,4102,4.0
173,4102,2.5
653,4102,3.5
1954,4102,3.0
653,4102,3.5
750,4102,3.0
1259,4102,5.0
919,4102,4.0
3101,4102,3.5
2054,4102,3.0
344,4102,1.5
145,4102,3.0
596,4102,3.0
2657,4102,5.0
594,4102,4.0
2011,4102,1.5
2001,4102,2.0
1676,4102,3.0
1380,4102,4.0
750,4102,3.0
1485,4102,3.5
3101,4102,3.5
58,4102,4.0
2657,4102,5.0
539,4102,3.0
1259,4102,5.0
788,4102,2.0
434,4102,2.5
2100,4102,3.5
593,4102,4.0
919,4102,4.0
173,4102,2.5
1408,4102,5.0
587,4102,3.5
1610,4102,3.0
253,4102,4.0
788,4102,2.0
344,4102,1.5
434,4102,2.5
2011,4102,1.5
2054,4102,3.0
186,4102,3.5
2692,4102,4.5
587,4102,3.5
165,4102,2.0
3176,4102,4.0
58,4102,4.0
1610,4102,3.0
588,4102,3.5
1732,4102,5.0
236,4102,3.5
1485,4102,3.5
288,4102,3.5
588,4102,3.5
236,4102,3.5
253,4102,4.0
1954,4102,3.0
2692,4102,4.5
2100,4102,3.5
4034,4102,4.5
539,4102,3.0
4034,4102,4.5
594,4102,4.0
593,4102,4.0
3176,4102,4.0
288,4102,3.5
364,4102,4.0
1380,4102,4.0
1676,4102,3.0
595,4102,4.0
165,4102,2.0
318,4102,5.0
318,4102,5.0
145,4102,3.0
1732,4102,5.0
342,114696,3.0
342,114696,3.0
265,114696,4.0
265,114696,4.0
1721,159752,3.0
1968,159752,4.0
1721,159752,3.0
1968,159752,4.0
1396,159752,4.0
1396,159752,4.0
1394,159752,3.0
1394,159752,3.0
11,176146,4.0
784,176146,2.0
364,176146,5.0
329,176146,3.0
11,176146,4.0
595,176146,5.0
595,176146,5.0
1073,176146,5.0
708,176146,4.0
648,176146,3.0
784,176146,2.0
1073,176146,5.0
780,176146,5.0
648,176146,3.0
104,176146,4.0
708,176146,4.0
329,176146,3.0
653,176146,4.0
1391,176146,4.0
318,176146,5.0
260,176146,5.0
150,176146,5.0
788,176146,4.0
104,176146,4.0
141,176146,4.0
786,176146,3.0
653,176146,4.0
780,176146,5.0
588,176146,5.0
5,176146,3.0
364,176146,5.0
1391,176146,4.0
786,176146,3.0
150,176146,5.0
788,176146,4.0
318,176146,5.0
5,176146,3.0
141,176146,4.0
588,176146,5.0
260,176146,5.0
8368,12305,4.0
344,12305,3.5
5995,12305,5.0
260,12305,1.0
3578,12305,5.0
527,12305,5.0
316,12305,3.0
1721,12305,5.0
1682,12305,4.5
2012,12305,4.5
1544,12305,5.0
527,12305,5.0
788,12305,2.0
40815,12305,3.5
6934,12305,5.0
2355,12305,4.5
44191,12305,5.0
6934,12305,5.0
5995,12305,5.0
2,12305,4.0
4993,12305,4.0
8368,12305,4.0
2355,12305,4.5
2012,12305,4.5
1997,12305,3.5
2,12305,4.0
788,12305,2.0
1682,12305,4.5
44191,12305,5.0
316,12305,3.0
2959,12305,5.0
4995,12305,5.0
1721,12305,5.0
260,12305,1.0
4993,12305,4.0
1997,12305,3.5
344,12305,3.5
1544,12305,5.0
2959,12305,5.0
3578,12305,5.0
40815,12305,3.5
5816,12305,3.5
4995,12305,5.0
5816,12305,3.5
150,106521,4.0
150,106521,4.0
16,127000,5.0
1573,127000,5.0
1573,127000,5.0
16,127000,5.0
25,127007,3.0
1073,127007,3.0
494,127007,3.0
95,127007,2.0
260,127007,3.0
648,127007,3.0
494,127007,3.0
141,127007,1.0
1073,127007,3.0
260,127007,3.0
648,127007,3.0
141,127007,1.0
25,127007,3.0
95,127007,2.0
4226,118816,4.0
4226,118816,4.0
260,81954,3.0
260,81954,3.0
377,81954,2.0
4025,81954,2.0
1997,81954,4.0
4034,81954,5.0
4011,81954,5.0
4034,81954,5.0
4011,81954,5.0
1997,81954,4.0
4025,81954,2.0
377,81954,2.0
2023,225312,1.0
2023,225312,1.0
318,16420,4.0
4973,16420,4.5
4973,16420,4.5
4226,16420,5.0
4226,16420,5.0
318,16420,4.0
1909,233510,4.0
1923,233510,5.0
1923,233510,5.0
2028,233510,5.0
1909,233510,4.0
1917,233510,3.0
1917,233510,3.0
2028,233510,5.0
318,36902,4.0
150,36902,4.0
296,36902,5.0
225,36902,3.0
196,36902,3.0
316,36902,3.0
329,36902,3.0
150,36902,4.0
165,36902,3.0
317,36902,3.0
344,36902,3.0
253,36902,3.0
333,36902,3.0
494,36902,3.0
435,36902,2.0
628,36902,4.0
161,36902,3.0
266,36902,2.0
158,36902,3.0
592,36902,3.0
153,36902,3.0
158,36902,3.0
349,36902,4.0
410,36902,3.0
300,36902,4.0
231,36902,4.0
553,36902,4.0
95,36902,3.0
185,36902,3.0
185,36902,3.0
494,36902,3.0
153,36902,3.0
344,36902,3.0
196,36902,3.0
260,36902,4.0
16,36902,3.0
292,36902,3.0
300,36902,4.0
333,36902,3.0
293,36902,4.0
161,36902,3.0
6,36902,4.0
21,36902,4.0
628,36902,4.0
235,36902,4.0
235,36902,4.0
590,36902,4.0
590,36902,4.0
95,36902,3.0
165,36902,3.0
293,36902,4.0
434,36902,3.0
292,36902,3.0
288,36902,3.0
410,36902,3.0
553,36902,4.0
111,36902,5.0
266,36902,2.0
608,36902,5.0
296,36902,5.0
317,36902,3.0
380,36902,4.0
434,36902,3.0
16,36902,3.0
329,36902,3.0
608,36902,5.0
318,36902,4.0
288,36902,3.0
592,36902,3.0
349,36902,4.0
6,36902,4.0
225,36902,3.0
260,36902,4.0
380,36902,4.0
21,36902,4.0
316,36902,3.0
253,36902,3.0
435,36902,2.0
231,36902,4.0
111,36902,5.0
1278,8232,5.0
1278,8232,5.0
1394,8232,4.0
235,8232,3.0
910,8232,4.0
1641,8232,4.0
5060,8232,4.0
910,8232,4.0
235,8232,3.0
3052,8232,4.0
5060,8232,4.0
1265,8232,4.0
3052,8232,4.0
1641,8232,4.0
1394,8232,4.0
1265,8232,4.0
1246,200747,4.0
1374,200747,2.5
2959,200747,0.5
745,200747,4.5
296,200747,0.5
296,200747,0.5
4886,200747,5.0
4995,200747,4.0
